strain	date	region	country	is_lab_host	host	genbank_accession	authors
China/PP_000QQW2.3/2016-04-01	2016-04-28	Asia	China		Hyalomma asiaticum	MH688499.1	Shen, S.; Moming, A.; Luo, T.; Chang, C.; Fang, Y.; Wang, J.; Kou, C.; Wang, C.; Su, Z.; Zhang, Y.; Tang, S.; Wu, Q.; Duan, X.; Zhu, L.; Liu, X.; An, R.; Shi, J.; Yang, J.; Zhang, Z.; Liang, J.; Guo, R.; Wang, H.; Sun, S.; Hu, Z.; Deng, F.
Bulgaria/PP_000QRU5.3/2012-01-01	2012-05-28	Europe	Bulgaria		Rhipicephalus bursa	MK299340.1	Hua, B. L.; Scholte, F. E.; Ohlendorf, V.; Kopp, A.; Marklewitz, M.; Drosten, C.; Nichol, S. T.; Spiropoulou, C.; Junglen, S.; Bergeron, E.
Bulgaria/PP_000QRV3.3/2012-01-01	2012-05-28	Europe	Bulgaria		Rhipicephalus bursa	MK299343.1	Hua, B. L.; Scholte, F. E.; Ohlendorf, V.; Kopp, A.; Marklewitz, M.; Drosten, C.; Nichol, S. T.; Spiropoulou, C.; Junglen, S.; Bergeron, E.
Bulgaria/PP_000QRW1.3/2012-01-01	2012-05-28	Europe	Bulgaria		Rhipicephalus bursa	MK299346.1	Hua, B. L.; Scholte, F. E.; Ohlendorf, V.; Kopp, A.; Marklewitz, M.; Drosten, C.; Nichol, S. T.; Spiropoulou, C.; Junglen, S.; Bergeron, E.
India/PP_000QRZV.3/2018-01-01	2018-05-28	Asia	India		Homo sapiens	MK330133.1	Yadav, P.
India/PP_000QS0T.3/2018-01-01	2018-05-28	Asia	India		Ixodoidea	MK330136.1	Yadav, P.
Sudan/PP_000QS1R.3/2015-01-01	2015-05-28	Africa	Sudan		Homo sapiens	MK442895.1	Bower, H.; El Karsany, M.; Alzain, M.; Gannon, B.; Mohamed, R.; Mahmoud, I.; Eldegail, M.; Taha, R.; El Halawi, A.; Osman, A.; Mohamednour, S.; Semper, A.; Atkinson, B.; Carter, D. P.; Dowall, S.; Furneaux, J.; Graham, V.; Mellors, J.; Osborne, J.; Pullan, S. T.; Slack, G. S.; Brooks, T.; Hewson, R.; Beeching, N. J.; Whitworth, J.; Bausch, D.; Fletcher, T. E.
Pakistan/PP_000QSEZ.3/2017-10-13	2017-10-13	Asia	Pakistan			MN135944.1	Zohaib, A.; Saqib, M.; Athar, M. A.; Hussain, M. H.; Sial, A. U.; Tayyab, M. H.; Batool, M.; Sadia, H.; Taj, Z.; Tahir, U.; Jakhrani, M. Y.; Tayyab, J.; Kakar, M. A.; Shahid, M. F.; Yaqub, T.; Zhang, J.; Wu, Q.; Deng, F.; Corman, V. M.; Shen, S.; Khan, I.; Shi, Z. L.; Sial, A.-U.-R.; Ahmed, F.; Faiz, S.; Furqan, M.; Shu, S.; Shi, Z.-L.
Turkey/PP_000QZXR.3/2017-06-01	2017-06-28	Europe	Turkey		Rhipicephalus sanguineus sensu lato	MN811030.1	Ergunay, K.; Dincer, E.; Kar, S.; Emanet, N.; Yalcinkaya, D.; Polat Dincer, P. F.; Brinkmann, A.; Hacioglu, S.; Nitsche, A.; Ozkul, A.; Linton, Y. M.; Ergunay, C.
Turkey/PP_000QZYP.3/2017-07-01	2017-07-28	Europe	Turkey		Rhipicephalus bursa	MN811031.1	Ergunay, K.; Dincer, E.; Kar, S.; Emanet, N.; Yalcinkaya, D.; Polat Dincer, P. F.; Brinkmann, A.; Hacioglu, S.; Nitsche, A.; Ozkul, A.; Linton, Y. M.; Ergunay, C.
